time,msg,codes,model,count,num_rows,rows
time,msg,codes,model,count,num_rows,rows
2020-07-12 03:57:56,,{48}0e10fb8384db;{0},BRAVO,1,2,;
2020-07-12 03:58:09,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 03:58:21,,{48}0e10fb8483db;{0},BRAVO,1,2,;
2020-07-12 03:58:34,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 03:58:46,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 03:59:11,,{48}0e10fb8483db;{0},BRAVO,1,2,;
2020-07-12 03:59:23,,{48}0e10fb8483db;{0},BRAVO,1,2,;
2020-07-12 03:59:35,,{48}0e10fb8483db;{0},BRAVO,1,2,;
2020-07-12 03:59:48,,{48}0e10fb8485d9;{0},BRAVO,1,2,;
2020-07-12 04:00:00,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:00:12,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:00:25,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:00:50,,{48}0e10fb8584d9;{0},BRAVO,1,2,;
2020-07-12 04:01:02,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:01:14,,{48}0e10fb8585d8;{0},BRAVO,1,2,;
2020-07-12 04:01:27,,{48}0e10fb8584d9;{0},BRAVO,1,2,;
2020-07-12 04:01:39,,{48}0e10fb8485d9;{0},BRAVO,1,2,;
2020-07-12 04:01:51,,{48}0e10fb8584d9;{0},BRAVO,1,2,;
2020-07-12 04:02:04,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:02:16,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:02:28,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:02:53,,{48}0e10fb8585d8;{0},BRAVO,1,2,;
2020-07-12 04:03:06,,{48}0e10fb8484da;{0},BRAVO,1,2,;
2020-07-12 04:03:18,,{48}0e10fb8485d9;{0},BRAVO,1,2,;
2020-07-12 04:03:30,,{48}0e10fb8585d8;{0},BRAVO,1,2,;
2020-07-12 04:03:55,,{48}0e10fb8585d8;{0},BRAVO,1,2,;
2020-07-12 04:04:07,,{48}0e10fb8585d8;{0},BRAVO,1,2,;
2020-07-12 04:04:20,,{48}0e10fb847fdf;{0},BRAVO,1,2,;
2020-07-12 04:04:32,,{48}0e10fb7f7ee5;{0},BRAVO,1,2,;
2020-07-12 04:04:44,,{48}0e10fb7e7de7;{0},BRAVO,1,2,;
2020-07-12 04:04:57,,{48}0e10fb7d7de8;{0},BRAVO,1,2,;
2020-07-12 04:05:09,,{48}0e10fb7d7ce9;{0},BRAVO,1,2,;
2020-07-12 04:05:21,,{48}0e10fb7c7cea;{0},BRAVO,1,2,;
2020-07-12 04:05:34,,{48}0e10fb7c7cea;{0},BRAVO,1,2,;
2020-07-12 04:05:46,,{48}0e10fb7c7cea;{0},BRAVO,1,2,;
2020-07-12 04:05:59,,{48}0e10fb7a78f0;{0},BRAVO,1,2,;
2020-07-12 04:06:11,,{48}0e10fb7574f9;{0},BRAVO,1,2,;
2020-07-12 04:06:23,,{48}0e10fb7474fa;{0},BRAVO,1,2,;
2020-07-12 04:06:36,,{48}0e10fb7271ff;{0},BRAVO,1,2,;
2020-07-12 04:06:48,,{48}0e10fb717100;{0},BRAVO,1,2,;
2020-07-12 04:07:00,,{48}0e10fb717001;{0},BRAVO,1,2,;
2020-07-12 04:07:13,,{48}0e10fb707002;{0},BRAVO,1,2,;
2020-07-12 04:07:25,,{48}0e10fb707101;{0},BRAVO,1,2,;
2020-07-12 04:07:37,,{48}0e10fb707002;{0},BRAVO,1,2,;
2020-07-12 04:07:50,,{48}0e10fb707002;{0},BRAVO,1,2,;
2020-07-12 04:08:02,,{48}0e10fb707101;{0},BRAVO,1,2,;
2020-07-12 04:08:14,,{48}0e10fb707002;{0},BRAVO,1,2,;
2020-07-12 04:08:27,,{48}0e10fb728ae6;{0},BRAVO,1,2,;
2020-07-12 04:08:39,,{48}0e10fbb8b278;{0},BRAVO,1,2,;
2020-07-12 04:08:52,,{48}0e10fbb5b677;{0},BRAVO,1,2,;
2020-07-12 04:09:04,,{48}0e10fbb6b676;{0},BRAVO,1,2,;
2020-07-12 04:09:16,,{48}0e10fbb6b577;{0},BRAVO,1,2,;
2020-07-12 04:09:29,,{48}0e10fbb5b578;{0},BRAVO,1,2,;
2020-07-12 04:09:41,,{48}0e10fbb5b578;{0},BRAVO,1,2,;
2020-07-12 04:09:53,,{48}0e10fbb5b578;{0},BRAVO,1,2,;
2020-07-12 04:10:06,,{48}0e10fbb5b677;{0},BRAVO,1,2,;
2020-07-12 04:10:18,,{48}0e10fbb5b677;{0},BRAVO,1,2,;
2020-07-12 04:10:30,,{48}0e10fbb6b676;{0},BRAVO,1,2,;
2020-07-12 04:10:43,,{48}0e10fbb5b776;{0},BRAVO,1,2,;
2020-07-12 04:10:55,,{48}0e10fbb7b675;{0},BRAVO,1,2,;
2020-07-12 04:11:07,,{48}0e10fbb6b676;{0},BRAVO,1,2,;
2020-07-12 04:11:20,,{48}0e10fbb6b577;{0},BRAVO,1,2,;
2020-07-12 04:11:32,,{48}0e10fbb6b577;{0},BRAVO,1,2,;
2020-07-12 04:11:44,,{48}0e10fbb5b677;{0},BRAVO,1,2,;
2020-07-12 04:11:57,,{48}0e10fbb6b478;{0},BRAVO,1,2,;
2020-07-12 04:12:09,,{48}0e10fbb4b47a;{0},BRAVO,1,2,;
2020-07-12 04:12:22,,{48}0e10fbb4b47a;{0},BRAVO,1,2,;
2020-07-12 04:12:34,,{48}0e10fbb4b47a;{0},BRAVO,1,2,;
2020-07-12 04:12:46,,{48}0e10fbb4b27c;{0},BRAVO,1,2,;
2020-07-12 04:12:59,,{48}0e10fbb1af82;{0},BRAVO,1,2,;
2020-07-12 04:13:11,,{48}0e10fba9a594;{0},BRAVO,1,2,;
2020-07-12 04:13:23,,{48}0e10fba19da4;{0},BRAVO,1,2,;
2020-07-12 04:13:36,,{48}0e10fb9b98af;{0},BRAVO,1,2,;
2020-07-12 04:13:48,,{48}0e10fb9695b7;{0},BRAVO,1,2,;
2020-07-12 04:14:00,,{48}0e10fb9494ba;{0},BRAVO,1,2,;
2020-07-12 04:14:13,,{48}0e10fb9492bc;{0},BRAVO,1,2,;
2020-07-12 04:14:25,,{48}0e10fb9190c1;{0},BRAVO,1,2,;
2020-07-12 04:14:37,,{48}0e10fb949ab4;{0},BRAVO,1,2,;
2020-07-12 04:14:50,,{48}0e10fb9d9ea7;{0},BRAVO,1,2,;
2020-07-12 04:15:02,,{48}0e10fb9d9ca9;{0},BRAVO,1,2,;
2020-07-12 04:15:14,,{48}0e10fb9b98af;{0},BRAVO,1,2,;
2020-07-12 04:15:27,,{48}0e10fb9797b4;{0},BRAVO,1,2,;
2020-07-12 04:15:39,,{48}0e10fb9696b6;{0},BRAVO,1,2,;
2020-07-12 04:15:52,,{48}0e10fb9797b4;{0},BRAVO,1,2,;
2020-07-12 04:16:04,,{48}0e10fb9796b5;{0},BRAVO,1,2,;
